date	Hillary Clinton	Donald Trump	
20160801	64817	133360
20160802	54351	140966
20160803	44678	124417
20160804	42480	115212
20160805	40447	103382
20160806	30852	77986
20160807	30014	70752
20160808	30588	72966
20160809	29711	65062
20160810	31805	65016
20160811	32013	63472
20160812	28000	59561
20160813	23428	52039
20160814	21088	50781
20160815	25052	54158
20160816	24251 	53181
20160817	23662	57613
20160818	22794	59945
20160819	24198	63924
20160820	21064	53057
20160821	19640	49781
20160822	21783	72719
20160823	27567	121364
20160824	25258	105281
20160825	26163	92777
20160826	28622	70241
20160827	26948	61057
20160828	25022	74354
20160829	27785	105683
20160830	26485	79898
20160831	25809	67695
